"","subject","language","abbreviation","framesetter","topic","verb"
"472","25_D","D","5b","2","1","3"
"473","25_D","D","9u","2","1","3"
"474","25_D","D","7u","2","1","3"
"475","25_D","D","4b","2","1","3"
"476","25_D","D","8u","2","1","3"
"477","25_D","D","2b","2","1","3"
"478","25_D","D","5u","2","1","3"
"479","25_D","D","8b","2","1","3"
"480","25_D","D","1u","2","1","3"
"481","26_D","D","10b","1","3","2"
"482","26_D","D","3u","1","2","3"
"483","26_D","D","6b","1","2","3"
"484","26_D","D","4u","1","2","3"
"485","26_D","D","2u","1","2","3"
"486","26_D","D","9b","1","2","3"
"487","26_D","D","7b","1","2","3"
"488","26_D","D","6u","1","2","3"
"489","26_D","D","3b","1","2","3"
"490","26_D","D","1b","1","2","3"
"491","26_D","D","10u","3","1","2"
"492","26_D","D","5b","1","2","3"
"493","26_D","D","9u","1","3","2"
"494","26_D","D","7u","1","2","3"
"495","26_D","D","4b","1","3","2"
"496","26_D","D","8u","1","3","2"
"497","26_D","D","2b","3","1","2"
"498","26_D","D","5u","1","2","3"
"499","26_D","D","8b","1","2","3"
"500","26_D","D","1u","1","2","3"
"501","27_D","D","10b","1","2","3"
"502","27_D","D","3u","1","2","3"
"503","27_D","D","6b","1","2","3"
"504","27_D","D","4u","1","3","2"
"505","27_D","D","2u","1","2","3"
"506","27_D","D","9b","1","3","2"
"507","27_D","D","7b","1","3","2"
"508","27_D","D","6u","1","3","2"
"509","27_D","D","3b","1","3","2"
"510","27_D","D","1b","1","3","2"
"511","27_D","D","10u","1","3","2"
"512","27_D","D","5b","1","3","2"
"513","27_D","D","9u","1","3","2"
"514","27_D","D","7u","1","3","2"
"515","27_D","D","4b","1","3","2"
"516","27_D","D","8u","1","3","2"
"517","27_D","D","2b","1","3","2"
"518","27_D","D","5u","1","3","2"
"519","27_D","D","8b","1","3","2"
"520","27_D","D","1u","1","3","2"
"521","28_D","D","10b","2","1","3"
"522","28_D","D","3u","1","2","3"
"523","28_D","D","6b","1","2","3"
"524","28_D","D","4u","1","2","3"
"525","28_D","D","2u","1","2","3"
"526","28_D","D","9b","1","2","3"
"527","28_D","D","7b","1","2","3"
"528","28_D","D","6u","1","2","3"
"529","28_D","D","3b","1","2","3"
"530","28_D","D","1b","1","2","3"
"531","28_D","D","10u","3","1","2"
"532","28_D","D","5b","1","2","3"
"533","28_D","D","9u","1","3","2"
"534","28_D","D","7u","1","2","3"
"535","28_D","D","4b","1","2","3"
"536","28_D","D","8u","1","2","3"
"537","28_D","D","2b","2","1","3"
"538","28_D","D","5u","2","1","3"
"539","28_D","D","8b","1","2","3"
"540","28_D","D","1u","3","1","2"
"541","29_D","D","10b","1","2","3"
"542","29_D","D","3u","1","2","3"
"543","29_D","D","6b","1","2","3"
"544","29_D","D","4u","1","2","3"
"545","29_D","D","2u","2","1","3"
"546","29_D","D","9b","2","1","3"
"547","29_D","D","7b","2","1","3"
"548","29_D","D","6u","2","1","3"
"549","29_D","D","3b","2","1","3"
"550","29_D","D","1b","1","2","3"
"551","29_D","D","10u","2","1","3"
"552","29_D","D","5b","2","1","3"
"553","29_D","D","9u","3","1","2"
"554","29_D","D","7u","1","2","3"
"555","29_D","D","4b","2","1","3"
"556","29_D","D","8u","2","1","3"
"557","29_D","D","2b","2","1","3"
"558","29_D","D","5u","2","1","3"
"559","29_D","D","8b","3","1","2"
"560","29_D","D","1u","2","1","3"
"561","30_D","D","10b","1","2","3"
"562","30_D","D","3u","2","1","3"
"563","30_D","D","6b","3","1","2"
"564","30_D","D","4u","1","3","2"
"565","30_D","D","2u","3","1","2"
"566","30_D","D","9b","1","2","3"
"567","30_D","D","7b","2","1","3"
"568","30_D","D","6u","1","3","2"
"569","30_D","D","3b","3","2","1"
"570","30_D","D","1b","3","2","1"
"571","30_D","D","10u","3","2","1"
"572","30_D","D","5b","1","3","2"
"573","30_D","D","9u","3","2","1"
"574","30_D","D","7u","1","2","3"
"575","30_D","D","4b","1","2","3"
"576","30_D","D","8u","2","3","1"
"577","30_D","D","2b","1","2","3"
"578","30_D","D","5u","2","1","3"
"579","30_D","D","8b","3","2","1"
"580","30_D","D","1u","1","3","2"
"582","31_D","D","3u","3","1","2"
"583","31_D","D","6b","1","3","2"
"584","31_D","D","4u","1","2","3"
"585","31_D","D","2u","2","1","3"
"586","31_D","D","9b","3","1","2"
"587","31_D","D","7b","3","1","2"
"588","31_D","D","6u","2","3","1"
"589","31_D","D","3b","1","2","3"
"590","31_D","D","1b","3","2","1"
"591","31_D","D","10u","3","1","2"
"592","31_D","D","5b","1","2","3"
"594","31_D","D","7u","1","2","3"
"595","31_D","D","4b","3","1","2"
"596","31_D","D","8u","2","1","3"
"597","31_D","D","2b","1","2","3"
"598","31_D","D","5u","2","1","3"
"599","31_D","D","8b","1","2","3"
"600","31_D","D","1u","1","3","2"
"601","33_D","D","10b","2","3","1"
"602","33_D","D","3u","2","1","3"
"603","33_D","D","6b","3","1","2"
"604","33_D","D","4u","1","2","3"
"605","33_D","D","2u","2","1","3"
"606","33_D","D","9b","2","1","3"
"607","33_D","D","7b","3","1","2"
"608","33_D","D","6u","3","1","2"
"609","33_D","D","3b","3","1","2"
"610","33_D","D","1b","1","2","3"
"611","33_D","D","10u","2","1","3"
"612","33_D","D","5b","3","1","2"
"613","33_D","D","9u","3","1","2"
"614","33_D","D","7u","2","1","3"
"615","33_D","D","4b","1","2","3"
"616","33_D","D","8u","3","1","2"
"617","33_D","D","2b","3","1","2"
"618","33_D","D","5u","3","1","2"
"619","33_D","D","8b","1","2","3"
"620","33_D","D","1u","2","1","3"
"621","34_D","D","10b","3","1","2"
"622","34_D","D","3u","3","1","2"
"623","34_D","D","6b","3","1","2"
"624","34_D","D","4u","3","1","2"
"625","34_D","D","2u","3","1","2"
"626","34_D","D","9b","3","1","2"
