"","participant","language","item","category","order","framesetter","topic","verb","verbal_framesetter","verbal_topic","verbal_Verb","Forder_A","Vorder_A","Torder_A","Forder_V","Vorder_V","Torder_V","action_order","verbal_order"
"174","9_D","D","7u","E","21","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"176","9_D","D","8u","E","24","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"177","9_D","D","2b","E","26","1","2","3",1,3,2,"Ffirst","Vlast","Tmid","Ffirst","Vmid","Tlast","FTV","FVT"
"178","9_D","D","5u","E","27","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"179","9_D","D","8b","E","29","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"180","9_D","D","1u","E","30","1","3","2",1,3,2,"Ffirst","Vmid","Tlast","Ffirst","Vmid","Tlast","FVT","FVT"
"181","10_D","D","10b","E","1","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"182","10_D","D","3u","E","3","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"183","10_D","D","6b","E","4","1","3","2",3,1,2,"Ffirst","Vmid","Tlast","Flast","Vmid","Tfirst","FVT","VFT"
"184","10_D","D","4u","E","7","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"185","10_D","D","2u","E","8","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"186","10_D","D","9b","E","9","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"187","10_D","D","7b","E","11","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"188","10_D","D","6u","E","12","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"189","10_D","D","3b","E","14","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"190","10_D","D","1b","E","16","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"191","10_D","D","10u","E","17","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"192","10_D","D","5b","E","19","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"193","10_D","D","9u","E","20","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"194","10_D","D","7u","E","21","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"195","10_D","D","4b","E","22","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"196","10_D","D","8u","E","24","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"197","10_D","D","2b","E","26","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"198","10_D","D","5u","E","27","2","1","3",3,1,2,"Fmid","Vlast","Tfirst","Flast","Vmid","Tfirst","TFV","VFT"
"199","10_D","D","8b","E","29","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"200","10_D","D","1u","E","30","1","2","3",3,1,2,"Ffirst","Vlast","Tmid","Flast","Vmid","Tfirst","FTV","VFT"
"201","11_D","D","10b","E","1","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"202","11_D","D","3u","E","3","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"203","11_D","D","6b","E","4","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"204","11_D","D","4u","E","7","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"205","11_D","D","2u","E","8","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"206","11_D","D","9b","E","9","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"207","11_D","D","7b","E","11","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"208","11_D","D","6u","E","12","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"209","11_D","D","3b","E","14","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"210","11_D","D","1b","E","16","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"211","11_D","D","10u","E","17","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"212","11_D","D","5b","E","19","3","1","2",1,3,2,"Flast","Vmid","Tfirst","Ffirst","Vmid","Tlast","VFT","FVT"
"214","11_D","D","7u","E","21","2","3","1",1,3,2,"Fmid","Vfirst","Tlast","Ffirst","Vmid","Tlast","TVF","FVT"
