subject,language,abbrevation,category,sequence of presentation,action,verbs,playmobil elements,framesetter,topic,verb,action_order,action_FTV,action_TVF,action_TFV,action_FVT,action_VTF,action_VFT,notes,oral text,oral_framesetter,oral_topic,oral_verb,oral_order,oral_FTV,oral_TVF,oral_TFV,oral_FVT,oral_VTF,oral_VFT,notes,MatchActionOral,,,,,,,,,
3,E,,F,13,car pushes the cart,push,"doctor, ball, tire, car, cart",,1,2,,0,0,0,0,0,0,car=topic,,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
3,E,3b,E,14,horse runs down the hill,run,"horse, cart",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
3,E,,F,15,seal pushes the ball,push,"fireman, cow, ball, seal",,1,2,,0,0,0,0,0,0,seal=topic,,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
3,E,1b,E,16,farmer lies on the ground,lie,"farmer, horse",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
3,E,10u,E,17,boat smokes,smoke,"boat, dog",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
3,E,,F,18,cow bites the farmer,bite,"dog, cow, farmer",,1,2,,0,0,0,0,0,0,cow=topic,,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
3,E,5b,E,19,doctor dances,dance,"doctor, cart",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
3,E,9u,E,20,ball lies on a rock,lie,"ball, horse",3,1,2,TVF,0,1,0,0,0,0,chooses stand,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
3,E,7u,E,21,tire rolls down the road,roll,"tire, cow",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
3,E,4b,E,22,farmer sits,sit,"farmer, doctor",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
3,E,,F,23,tire lies,lie,tire,,1,2,,0,0,0,0,0,0,,,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
3,E,8u,E,24,boat sinks,sink,"boat, ball",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
3,E,,F,25,ball hops,hop,"ball, doctor",,1,2,,0,0,0,0,0,0,,,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
3,E,2b,E,26,cow moos,moo,"cow, dog",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
3,E,5u,E,27,car shutters,shudder,"car, cart",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
3,E,,F,28,doctor stands,stand,"woman, farmer, doctor",,1,2,,0,0,0,0,0,0,,,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
3,E,8b,E,29,seal dives into the water,dive,"seal, ball",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
3,E,1u,E,30,ball lies on the ground,lie,"ball, horse",3,1,2,TVF,0,1,0,0,0,0,,,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
4,E,Tb,T,T,woman turns around,turn,"woman, dog",1,2,3,FTV,1,0,0,0,0,0,,At 11 o clock the girl turns,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
